,Video ID,Likes,Sentiment
235,iEAlq1GPgnc,880,1
236,iEAlq1GPgnc,269,2
237,iEAlq1GPgnc,505,2
238,iEAlq1GPgnc,382,2
239,iEAlq1GPgnc,229,2
240,IHnhSxizVOA,68,0
241,IHnhSxizVOA,89,0
242,IHnhSxizVOA,22,2
243,IHnhSxizVOA,25,2
244,IHnhSxizVOA,0,2
245,IHnhSxizVOA,0,2
246,IHnhSxizVOA,25,1
247,IHnhSxizVOA,6,1
248,IHnhSxizVOA,0,1
249,IHnhSxizVOA,3,0
250,Ql1-RZ2FUrc,34,2
251,Ql1-RZ2FUrc,3,1
252,Ql1-RZ2FUrc,3,2
253,Ql1-RZ2FUrc,3,2
254,Ql1-RZ2FUrc,1,2
255,Ql1-RZ2FUrc,7,2
256,Ql1-RZ2FUrc,6,2
257,Ql1-RZ2FUrc,3,0
258,Ql1-RZ2FUrc,13,0
259,Fpof56HU6SY,4,1
260,Fpof56HU6SY,4,2
261,Fpof56HU6SY,9,0
262,Fpof56HU6SY,0,1
263,Fpof56HU6SY,2,0
264,Fpof56HU6SY,70,1
265,Fpof56HU6SY,2,0
266,Fpof56HU6SY,12,0
267,Fpof56HU6SY,3,1
268,Fpof56HU6SY,3,2
269,bbbQ_X45FaA,3,2
270,bbbQ_X45FaA,4,2
271,bbbQ_X45FaA,1,2
272,bbbQ_X45FaA,4,2
273,bbbQ_X45FaA,5,1
274,bbbQ_X45FaA,5,1
275,bbbQ_X45FaA,3,2
276,bbbQ_X45FaA,3,2
277,bbbQ_X45FaA,1,2
278,bbbQ_X45FaA,1,2
279,MtMkU-1p7-0,5178,2
280,MtMkU-1p7-0,2681,2
281,MtMkU-1p7-0,560,0
282,MtMkU-1p7-0,213,1
283,MtMkU-1p7-0,891,2
284,MtMkU-1p7-0,207,2
285,MtMkU-1p7-0,416,2
286,MtMkU-1p7-0,398,0
287,MtMkU-1p7-0,4284,2
288,MtMkU-1p7-0,686,2
289,QYlXL_8ei6g,1550,2
290,QYlXL_8ei6g,496,2
291,QYlXL_8ei6g,104,2
292,QYlXL_8ei6g,279,2
293,QYlXL_8ei6g,18,2
294,QYlXL_8ei6g,195,2
295,QYlXL_8ei6g,265,1
296,QYlXL_8ei6g,122,0
297,QYlXL_8ei6g,28,2
298,QYlXL_8ei6g,63,2
299,zFCFe38EIfE,16584,0
300,zFCFe38EIfE,1281,2
301,zFCFe38EIfE,1537,0
302,zFCFe38EIfE,1645,2
303,zFCFe38EIfE,262,2
304,zFCFe38EIfE,12859,1
305,zFCFe38EIfE,1379,2
306,zFCFe38EIfE,71,2
307,zFCFe38EIfE,83,2
308,zFCFe38EIfE,366,1
309,LOrkbagIpiY,210,2
310,LOrkbagIpiY,113,1
311,LOrkbagIpiY,30,2
312,LOrkbagIpiY,17,2
313,LOrkbagIpiY,16,2
314,LOrkbagIpiY,4,2
315,LOrkbagIpiY,10,2
316,LOrkbagIpiY,4,2
317,LOrkbagIpiY,0,1
318,LOrkbagIpiY,1,2
319,UK5OHUmIgcc,342,2
320,UK5OHUmIgcc,645,2
321,UK5OHUmIgcc,36,2
322,UK5OHUmIgcc,72,2
323,UK5OHUmIgcc,27,2
324,UK5OHUmIgcc,5,2
325,UK5OHUmIgcc,40,2
326,UK5OHUmIgcc,2,2
327,UK5OHUmIgcc,3,2
328,UK5OHUmIgcc,2,2
329,My2Tr3k1liw,10,2
330,My2Tr3k1liw,8,1
331,My2Tr3k1liw,1,2
332,My2Tr3k1liw,2,1
333,My2Tr3k1liw,3,1
334,My2Tr3k1liw,2,2
335,My2Tr3k1liw,2,1
336,My2Tr3k1liw,3,1
337,My2Tr3k1liw,0,1
338,IUwqf08-FKU,5662,0
339,IUwqf08-FKU,4836,2
340,IUwqf08-FKU,1798,0
341,IUwqf08-FKU,5528,1
